Colonia,Construcción,Terreno,Ant,Recamaras,Baños,Estacionamiento,Precio
0.86,209,209,0,3,3,2,"4,850,000"
0.08,397,166,20,7,4,2,"4,800,000"
0.51,275,144,5,4,4,2,"4,380,000"
0.61,105,122,15,3,1,2,"1,980,000"
0.32,206,126,7,3,2,3,"3,300,000"
0.45,249,308,25,4,3,1,"3,450,000"
0.43,210,192,5,3,3,2,"6,800,000"
0.56,210,180,0,3,3,2,"5,385,000"
0.66,169,151,10,3,2,2,"3,400,000"
0.55,181,356,6,3,3,4,"4,100,000"
0.4,232,160,15,3,2,2,"4,000,000"
0.05,120,90,10,3,2,1,"1,450,000"
0.19,147,100,12,2,1,1,"1,600,000"
0.9,310,352,10,2,3,2,"6,500,000"
0.9,392,600,45,3,4,4,"4,800,000"
0.3,62,133,10,2,1,1,"1,600,000"
0.9,467,960,30,5,5,4,"15,500,000"
0.08,180,110,10,3,2,2,"2,600,000"
0.9,691,763,25,4,6,4,"15,000,000"
0.47,247,200,0,3,3,2,"5,600,000"
0.37,133,189,18,3,2,2,"1,260,000"
0.04,72,225,30,2,1,1,"1,050,000"
0.37,269,164,30,4,2,3,"4,500,000"
0.9,186,211,28,3,3,2,"3,300,000"
0.5,304,323,5,3,4,4,"6,900,000"
0.9,228,230,17,3,3,2,"3,500,000"
0.74,251,180,0,3,3,2,"5,900,000"
0.48,258,206,0,3,3,3,"7,860,000"
0.38,53,160,30,2,1,1,"360,000"
0.2,120,139,15,2,1,1,"920,000"
0.57,165,123,0,3,2,2,"3,450,000"
0.46,233,139,31,3,2,2,"3,500,000"
0.04,401,419,25,4,4,2,"6,500,000"
0.48,210,192,10,3,2,1,"6,640,000"
0.9,344,745,50,4,4,2,"6,500,000"
0.28,252,140,5,4,4,1,"3,150,000"
0.27,86,140,17,2,1,1,"550,000"
0.03,126,720,13,2,1,1,"720,000"
0.57,165,153,15,3,2,2,"4,500,000"
0.24,236,160,15,3,3,2,"2,500,000"
0.59,344,611,6,3,1,2,"5,000,000"
0.53,133,280,10,3,2,2,"2,300,000"
0.24,125,140,10,3,2,1,"1,350,000"
0.15,175,440,30,3,1,2,"1,500,000"
0.01,155,108,0,2,2,1,"4,380,000"
0.08,397,166,20,7,4,2,"4,800,000"
0.33,260,126,7,3,2,3,"3,300,000"
0.51,275,144,5,4,4,2,"4,380,000"
0.62,105,122,15,3,1,2,"1,980,000"
